2024-11-26 15:27:07.636 | INFO     | __main__:check_and_load_model:117 - =============================================
2024-11-26 15:27:07.637 | INFO     | __main__:check_and_load_model:119 - 时间: 2024-11-26 15:27:07
2024-11-26 15:27:13.430 | INFO     | __main__:check_and_load_model:117 - =============================================
2024-11-26 15:27:13.430 | INFO     | __main__:check_and_load_model:119 - 时间: 2024-11-26 15:27:13
2024-11-26 15:27:13.931 | INFO     | __main__:check_and_load_model:124 - 选择的源语言: 中文 (zh), 目标语言: 日语 (ja)
2024-11-26 15:27:13.932 | INFO     | __main__:check_and_load_model:125 - 找到的模型路径: /home/yumingdong/mt-web/results/opus-mt-zh-ja-final
2024-11-26 15:27:22.542 | INFO     | __main__:perform_translation:94 - 用户的输入是时空壶翻译
2024-11-26 15:27:23.371 | INFO     | __main__:perform_translation:98 - 自研模型翻译结果是時空の壺の翻訳
2024-11-26 15:27:27.198 | INFO     | __main__:perform_gpt_translation:169 - GPT-4o翻译结果是時空ポット翻訳
2024-11-26 15:28:22.065 | INFO     | __main__:check_and_load_model:117 - =============================================
2024-11-26 15:28:22.066 | INFO     | __main__:check_and_load_model:119 - 时间: 2024-11-26 15:28:22
2024-11-26 15:28:22.567 | INFO     | __main__:check_and_load_model:124 - 选择的源语言: 中文 (zh), 目标语言: 土耳其语 (tr)
2024-11-26 15:28:22.567 | INFO     | __main__:check_and_load_model:125 - 找到的模型路径: /home/yumingdong/mt-web/results/results-zh-tr
2024-11-26 15:28:23.867 | INFO     | __main__:perform_translation:94 - 用户的输入是时空壶翻译
2024-11-26 15:28:24.174 | INFO     | __main__:perform_translation:98 - 自研模型翻译结果是Uzay-zaman kettle çevirisi.
2024-11-26 15:28:27.766 | INFO     | __main__:perform_gpt_translation:169 - GPT-4o翻译结果是zaman-mekân çömleği çevirisi
2024-11-26 15:28:31.587 | INFO     | __main__:check_and_load_model:117 - =============================================
2024-11-26 15:28:31.588 | INFO     | __main__:check_and_load_model:119 - 时间: 2024-11-26 15:28:31
2024-11-26 15:28:38.848 | INFO     | __main__:check_and_load_model:117 - =============================================
2024-11-26 15:28:38.848 | INFO     | __main__:check_and_load_model:119 - 时间: 2024-11-26 15:28:38
2024-11-26 15:28:39.349 | INFO     | __main__:check_and_load_model:124 - 选择的源语言: 英文 (en), 目标语言: 中文 (zh)
2024-11-26 15:28:39.350 | INFO     | __main__:check_and_load_model:125 - 找到的模型路径: /home/yumingdong/mt-web/results/opus-mt-en-zh-final
2024-11-26 15:28:40.491 | INFO     | __main__:perform_translation:94 - 用户的输入是时空壶翻译
2024-11-26 15:28:47.950 | INFO     | __main__:perform_translation:98 - 自研模型翻译结果是>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
2024-11-26 15:28:50.372 | INFO     | __main__:perform_translation:94 - 用户的输入是时空壶翻
